iso_code,country,Wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
AFG,Afghanistan,Quintile 1,0.3923808510638298,0.21872235294117648,0.12042307692307694,0.32635,0.18904298245614035,0.08507909090909091,3.4371130434782606,0.5497039473684211,0.5876144736842106,0.44688333333333335,0.5403666666666667,0.7224266666666667,281.77659574468083,231.49411764705883,172.06410256410257,610.0877192982456,610.0877192982456,442.4818181818182,255.48684210526315,255.48684210526315,255.48684210526315,,,,0.0025166666666666666,873.6666666666666,0.04435,478.0,0.3538303370786517,497.53932584269666,0.8318388888888889,240.37037037037038,0.8567675675675676,167.51351351351352,0.006495652173913043,221.15942028985506,0.0013072463768115943,221.15942028985506,0.001487719298245614,174.0,0.03849743589743589,349.11538461538464,0.2754915662650602,499.3855421686747,0.360712,324.62,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Quintile 2,0.43168346456692913,0.2567027027027027,0.13856161616161616,0.3511376811594203,0.2122123188405797,0.10101376811594202,3.5541113402061857,0.5184258928571428,0.55818125,0.4437888888888889,0.4855764705882353,0.64864375,223.8503937007874,191.77477477477478,163.3838383838384,560.7536231884058,560.7536231884058,428.3333333333333,215.25892857142858,215.25892857142858,215.25892857142858,,,,0.009085714285714286,771.2857142857143,0.04151666666666667,462.0,0.3603238938053097,438.14159292035396,0.8901681159420289,208.6231884057971,0.8865488372093023,167.30232558139534,0.0029747368421052627,210.83157894736843,0.0016494736842105264,210.83157894736843,0.0014414634146341463,164.08536585365854,0.048802830188679244,281.12264150943395,0.24073333333333333,404.81481481481484,0.40515466666666666,275.7733333333333,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Quintile 3,0.43328916666666667,0.27467592592592593,0.15624591836734694,0.3814585714285714,0.24475285714285713,0.12358428571428572,3.8124397849462364,0.48908392857142857,0.52335,0.4448,0.5020055555555555,0.6429777777777779,230.375,191.37037037037038,172.1530612244898,549.0642857142857,549.0642857142857,425.95714285714286,222.13392857142858,222.13392857142858,222.13392857142858,,,,0.00951111111111111,582.6666666666666,0.03288571428571428,382.85714285714283,0.345058407079646,409.0265486725664,0.8777476923076923,215.6,0.9073232558139535,180.32558139534885,0.004516091954022989,230.5977011494253,0.0019954022988505748,230.5977011494253,0.0016542857142857143,184.47142857142856,0.054379047619047625,278.0571428571429,0.24054403669724772,398.42201834862385,0.43927600000000006,283.4266666666667,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Quintile 4,0.570897619047619,0.35644778761061946,0.23538265306122447,0.49346736111111106,0.3411416666666667,0.18572340425531916,4.992642553191489,0.3809452991452991,0.4319435897435897,0.3283388888888889,0.35130555555555554,0.5300166666666667,230.952,201.34513274336283,177.60204081632654,560.7083333333334,560.7083333333334,429.92907801418437,222.65811965811966,222.65811965811966,222.65811965811966,,,,0.006177777777777778,587.1111111111111,0.04574444444444445,301.77777777777777,0.2419880341880342,399.62393162393164,0.9059483146067416,208.8426966292135,0.9279508474576271,182.01694915254237,0.00899278350515464,210.55670103092783,0.003095876288659794,210.55670103092783,0.0025605263157894736,168.8684210526316,0.10067699115044249,282.1858407079646,0.20281810344827586,425.51724137931035,0.566270238095238,286.64285714285717,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Quintile 5,0.740338679245283,0.5533895833333333,0.41105777777777774,0.6769811475409836,0.5224778688524591,0.3689139344262295,7.61306582278481,0.21594528301886792,0.24096320754716982,0.18405555555555556,0.21735555555555555,0.3467,280.07547169811323,240.57291666666666,210.44444444444446,668.3524590163935,668.3524590163935,482.5,260.5377358490566,260.5377358490566,260.5377358490566,,,,0.03493333333333334,608.0,0.060511111111111106,341.77777777777777,0.11954888888888889,445.1333333333333,0.9510411764705882,296.32941176470587,0.9417773333333334,221.68,0.01942439024390244,223.0487804878049,0.010963414634146343,223.0487804878049,0.01377457627118644,183.88135593220338,0.1823808988764045,352.2696629213483,0.1683618556701031,478.21649484536084,0.7582513888888889,372.125,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Quintile 1,0.19592173913043479,0.03799090909090909,0.01614210526315789,0.22257083333333336,0.04593958333333333,0.013551111111111111,3.0200806451612903,0.4303612903225807,0.5855612903225806,0.45141818181818183,0.33685588235294117,0.5937809523809524,187.6086956521739,177.0909090909091,149.42105263157896,262.5,262.5,226.33333333333334,162.19354838709677,162.19354838709677,162.19354838709677,337.23636363636365,169.26470588235293,190.71428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Quintile 2,0.3105756097560976,0.07990588235294117,0.01279,0.39450535714285717,0.09993571428571428,0.0248,4.185862222222222,0.28666222222222226,0.42776,0.3564,0.26387954545454545,0.49986842105263163,118.53658536585365,130.1764705882353,138.13333333333333,270.0892857142857,270.0892857142857,241.94545454545454,151.2888888888889,151.2888888888889,151.2888888888889,352.8392857142857,139.20454545454547,121.78947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Quintile 3,0.5852727272727273,0.23946410256410258,0.07068484848484848,0.6936492063492063,0.2436015873015873,0.10829193548387098,6.612188,0.115564,0.18203,0.21451451612903225,0.16905227272727272,0.259675,142.15151515151516,138.46153846153845,140.06060606060606,277.42857142857144,277.42857142857144,241.9516129032258,153.7,153.7,153.7,300.85483870967744,140.47727272727272,135.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Quintile 4,0.7736074074074074,0.4502391304347826,0.22958421052631578,0.8718037037037036,0.4455351851851852,0.27800851063829785,8.682085185185185,0.04474444444444444,0.06791111111111112,0.13951346153846153,0.08649599999999999,0.15864615384615383,159.55555555555554,175.82608695652175,161.1578947368421,253.37037037037038,253.37037037037038,231.51063829787233,196.7037037037037,196.7037037037037,196.7037037037037,255.98076923076923,199.56,170.8846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Quintile 5,0.8777,0.7010666666666666,0.5031416666666667,0.9322975609756098,0.6710634146341463,0.5716235294117646,10.817459090909091,0.027313636363636363,0.03425909090909091,0.07497222222222222,0.0575111111111111,0.09288333333333333,233.5,215.61111111111111,241.16666666666666,302.9756097560976,302.9756097560976,289.8529411764706,232.8181818181818,232.8181818181818,232.8181818181818,261.72222222222223,250.0,221.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
