country,iso_code,Wealth,year,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,trans_prim_m,trans_lowsec_m,attend_higher_1822_m,overage2plus_m
C. A. R.,CAF,Quintile 1,2000,0.0504,0.017,0,,0.033128571,0.356580952,,,,131.5238095,131.5238095,131.5238095,,,,,,,,
C. A. R.,CAF,Quintile 2,2000,0.0917,0.02,0.0031,,0.028395238,0.303804762,,,,135.3333333,135.3333333,135.3333333,,,,,,,,
C. A. R.,CAF,Quintile 3,2000,0.1464,0.0325,0.0057,,0.0447,0.268282759,,,,142.2068966,142.2068966,142.2068966,,,,,,,,
C. A. R.,CAF,Quintile 4,2000,0.2543,0.0708,0.0511,,0.017318519,0.195711111,,,,212.7037037,212.7037037,212.7037037,,,,,,,,
C. A. R.,CAF,Quintile 5,2000,0.4176,0.2063,0.1057,,0.010895455,0.113809091,,,,310.4545455,310.4545455,310.4545455,,,,,,,,
Cameroon,CMR,Quintile 1,2000,0.4115,0.0279,0,,0.063871429,0.125585714,,,,92.85714286,92.85714286,92.85714286,,,,,,,,
Cameroon,CMR,Quintile 2,2000,0.5296,0.0549,0.0146,,0.021833333,0.072355556,,,,88,88,88,,,,,,,,
Cameroon,CMR,Quintile 3,2000,0.6421,0.1167,0.0174,,0.028030769,0.054361538,,,,92.84615385,92.84615385,92.84615385,,,,,,,,
Cameroon,CMR,Quintile 4,2000,0.7916,0.2453,0.0737,,0.005752632,0.020557895,,,,121.3157895,121.3157895,121.3157895,,,,,,,,
Cameroon,CMR,Quintile 5,2000,0.8976,0.5126,0.1782,,0.00251875,0.014225,,,,235,235,235,,,,,,,,
Canada,CAN,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Chad,TCD,Quintile 1,2000,0.053,0.0121,0.0073,,,,,,,,,,,,,,,,,
Chad,TCD,Quintile 2,2000,0.0868,0.0279,0,,0.138166667,0.508533333,,,,47.66666667,47.66666667,47.66666667,,,,,,,,
Chad,TCD,Quintile 3,2000,0.0813,0.0066,0.0036,,0.049,0.3503875,,,,47,47,47,,,,,,,,
Chad,TCD,Quintile 4,2000,0.1569,0.0506,0.0247,,0.086142857,0.298564286,,,,83.21428571,83.21428571,83.21428571,,,,,,,,
Chad,TCD,Quintile 5,2000,0.4493,0.2929,0.1818,,0.0097,0.104566667,,,,236.5,236.5,236.5,,,,,,,,
Chile,CHL,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Comoros,COM,Quintile 1,2000,0.2687,0.1396,0.0168,,0.10217,0.25786,,,,86.5,86.5,86.5,,,,,,,,
Comoros,COM,Quintile 2,2000,0.2781,0.1306,0.0155,,0.03704,0.15887,,,,96.3,96.3,96.3,,,,,,,,
Comoros,COM,Quintile 3,2000,0.424,0.1533,0.0353,,0.046109091,0.124745455,,,,94.63636364,94.63636364,94.63636364,,,,,,,,
Comoros,COM,Quintile 4,2000,0.4397,0.1952,0.0985,,0.026469231,0.059592308,,,,105.3846154,105.3846154,105.3846154,,,,,,,,
Comoros,COM,Quintile 5,2000,0.5805,0.2578,0.0867,,0.015464286,0.057378571,,,,156.2142857,156.2142857,156.2142857,,,,,,,,
Costa Rica,CRI,Quintile 1,2000,0.706655556,0.261577778,0.137488889,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Quintile 2,2000,0.8031,0.362122222,0.219222222,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Quintile 3,2000,0.846922222,0.387422222,0.266866667,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Quintile 4,2000,0.878455556,0.483977778,0.384422222,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Quintile 5,2000,0.920844444,0.602511111,0.585233333,,,,,,,,,,,,,,,,,
Czechia,CZE,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,CIV,Quintile 1,2000,0.147,0.0258,0.0029,,0.030358333,0.175841667,,,,93,93,93,,,,,,,,
Côte d'Ivoire,CIV,Quintile 2,2000,0.2108,0.0756,0.0114,,0.032717647,0.1574,,,,101.2352941,101.2352941,101.2352941,,,,,,,,
Côte d'Ivoire,CIV,Quintile 3,2000,0.2528,0.0902,0.0207,,0.044972222,0.186477778,,,,123.2222222,123.2222222,123.2222222,,,,,,,,
Côte d'Ivoire,CIV,Quintile 4,2000,0.4307,0.1833,0.0319,,0.019215789,0.112968421,,,,162.5789474,162.5789474,162.5789474,,,,,,,,
Côte d'Ivoire,CIV,Quintile 5,2000,0.5832,0.3884,0.0996,,0.01866,0.063506667,,,,301.2666667,301.2666667,301.2666667,,,,,,,,
Denmark,DNK,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
